TeamA 0, TeamB 0
TeamA 3, TeamC 6
TeamA 6, TeamD 6
TeamA 4, TeamE 6
TeamA 5, TeamF 0
TeamA 7, TeamG 0
TeamA 8, TeamH 5
TeamB 7, TeamA 0
TeamB 4, TeamC 6
TeamB 0, TeamD 5
TeamB 7, TeamE 2
TeamB 3, TeamF 7
TeamB 2, TeamG 1
TeamB 5, TeamH 4
TeamC 9, TeamA 8
TeamC 8, TeamB 5
TeamC 0, TeamD 1
TeamC 3, TeamE 0
TeamC 9, TeamF 7
TeamC 2, TeamG 8
TeamC 9, TeamH 5
TeamD 6, TeamA 7
TeamD 5, TeamB 8
TeamD 8, TeamC 0
TeamD 3, TeamE 4
TeamD 6, TeamF 0
TeamD 9, TeamG 9
TeamD 0, TeamH 4
TeamE 9, TeamA 1
TeamE 9, TeamB 6
TeamE 7, TeamC 7
TeamE 9, TeamD 1
TeamE 6, TeamF 9
TeamE 9, TeamG 3
TeamE 6, TeamH 5
TeamF 7, TeamA 2
TeamF 4, TeamB 5
TeamF 1, TeamC 3
TeamF 6, TeamD 1
TeamF 6, TeamE 3
TeamF 0, TeamG 2
TeamF 5, TeamH 9
TeamG 6, TeamA 2
TeamG 4, TeamB 4
TeamG 6, TeamC 2
TeamG 0, TeamD 5
TeamG 8, TeamE 8
TeamG 2, TeamF 5
TeamG 8, TeamH 5
TeamH 3, TeamA 8
TeamH 8, TeamB 5
TeamH 2, TeamC 3
TeamH 7, TeamD 1
TeamH 6, TeamE 7
TeamH 8, TeamF 7
TeamH 5, TeamG 8
